ID,Age,Masked,Vaccinate,Initial_Status
1,52,Yes,Yes,Susceptible
2,15,No,No,Susceptible
3,72,No,No,Susceptible
4,61,Yes,No,Susceptible
5,21,No,Yes,Infectious
6,83,Yes,Yes,Susceptible
7,87,Yes,Yes,Susceptible
8,75,Yes,No,Susceptible
9,75,Yes,Yes,Susceptible
10,88,Yes,Yes,Susceptible
11,24,No,No,Susceptible
12,3,Yes,No,Susceptible
13,22,Yes,No,Susceptible
14,53,Yes,No,Susceptible
15,2,Yes,No,Susceptible
16,88,No,Yes,Susceptible
17,30,Yes,Yes,Susceptible
18,38,Yes,No,Susceptible
19,2,Yes,Yes,Susceptible
20,64,Yes,No,Susceptible
21,60,Yes,No,Susceptible
22,21,Yes,No,Susceptible
23,33,Yes,Yes,Susceptible
24,76,Yes,Yes,Susceptible
25,58,Yes,Yes,Susceptible
26,22,Yes,No,Susceptible
27,89,No,No,Susceptible
28,49,Yes,Yes,Susceptible
29,59,Yes,No,Susceptible
30,42,Yes,No,Susceptible
31,60,Yes,No,Susceptible
32,80,Yes,Yes,Susceptible
33,15,Yes,Yes,Susceptible
34,62,Yes,No,Susceptible
35,62,Yes,No,Exposed
36,47,Yes,No,Susceptible
37,62,No,No,Susceptible
38,51,No,Yes,Susceptible
39,55,Yes,Yes,Susceptible
40,64,Yes,Yes,Susceptible
41,3,Yes,Yes,Susceptible
42,51,Yes,No,Susceptible
43,7,Yes,Yes,Exposed
44,21,Yes,No,Susceptible
45,73,Yes,Yes,Susceptible
46,39,No,Yes,Susceptible
47,18,Yes,Yes,Susceptible
48,4,No,No,Susceptible
49,89,Yes,No,Susceptible
50,60,No,No,Susceptible
51,14,No,No,Susceptible
52,9,Yes,No,Susceptible
53,53,Yes,Yes,Susceptible
54,2,No,Yes,Susceptible
55,84,No,No,Susceptible
56,60,Yes,No,Susceptible
57,71,Yes,No,Susceptible
58,44,No,Yes,Susceptible
59,8,Yes,Yes,Susceptible
60,47,No,Yes,Susceptible
61,35,No,Yes,Susceptible
62,78,No,Yes,Susceptible
63,81,No,Yes,Susceptible
64,36,No,Yes,Exposed
65,50,No,No,Susceptible
66,4,Yes,No,Susceptible
67,2,Yes,No,Susceptible
68,6,No,Yes,Susceptible
69,54,Yes,No,Susceptible
70,4,Yes,No,Susceptible
71,54,Yes,No,Susceptible
72,63,Yes,No,Susceptible
73,18,Yes,Yes,Susceptible
74,44,No,No,Susceptible
75,34,Yes,No,Susceptible
76,74,Yes,No,Recovered
77,62,No,No,Susceptible
78,14,No,Yes,Susceptible
79,48,Yes,Yes,Susceptible
80,15,Yes,Yes,Infectious
81,72,No,No,Susceptible
82,78,Yes,No,Susceptible
83,87,Yes,No,Susceptible
84,62,Yes,No,Susceptible
85,40,Yes,Yes,Susceptible
86,85,Yes,No,Susceptible
87,80,Yes,No,Susceptible
88,82,Yes,Yes,Susceptible
89,53,No,Yes,Susceptible
90,24,No,No,Susceptible
91,26,Yes,Yes,Susceptible
92,89,No,No,Susceptible
93,60,No,Yes,Susceptible
94,41,No,Yes,Susceptible
95,29,No,Yes,Susceptible
96,15,Yes,No,Susceptible
97,45,Yes,No,Susceptible
98,65,Yes,Yes,Susceptible
99,89,Yes,No,Exposed
100,71,Yes,No,Susceptible
101,9,Yes,No,Susceptible
102,88,Yes,No,Susceptible
103,1,Yes,No,Susceptible
104,8,Yes,No,Susceptible
105,88,Yes,No,Susceptible
106,63,Yes,No,Susceptible
107,11,No,Yes,Recovered
108,81,Yes,No,Infectious
109,8,Yes,No,Susceptible
110,35,Yes,Yes,Susceptible
111,35,No,Yes,Susceptible
112,33,No,Yes,Susceptible
113,5,No,Yes,Susceptible
114,41,No,No,Susceptible
115,28,Yes,Yes,Susceptible
116,7,Yes,No,Susceptible
117,73,No,Yes,Susceptible
118,72,Yes,No,Susceptible
119,12,No,No,Susceptible
120,34,No,No,Susceptible
121,33,Yes,No,Susceptible
122,48,Yes,Yes,Susceptible
123,23,Yes,Yes,Susceptible
124,62,Yes,Yes,Susceptible
125,88,No,No,Susceptible
126,37,Yes,No,Susceptible
127,44,Yes,No,Susceptible
128,86,No,No,Susceptible
129,35,Yes,Yes,Susceptible
130,65,Yes,Yes,Susceptible
131,47,Yes,No,Susceptible
132,78,Yes,Yes,Susceptible
133,3,No,Yes,Susceptible
134,1,Yes,Yes,Susceptible
135,5,Yes,Yes,Susceptible
136,14,No,No,Susceptible
137,27,Yes,No,Susceptible
138,9,Yes,Yes,Susceptible
139,79,Yes,Yes,Exposed
140,15,Yes,Yes,Susceptible
141,42,No,No,Susceptible
142,77,Yes,Yes,Susceptible
143,51,Yes,No,Infectious
144,63,Yes,No,Susceptible
145,52,Yes,No,Susceptible
146,4,Yes,No,Susceptible
147,23,Yes,No,Susceptible
148,15,No,No,Susceptible
149,43,Yes,No,Susceptible
150,29,Yes,Yes,Infectious
151,36,Yes,Yes,Susceptible
152,13,Yes,No,Susceptible
153,32,Yes,No,Susceptible
154,71,No,Yes,Exposed
155,59,Yes,No,Susceptible
156,86,Yes,No,Susceptible
157,28,Yes,No,Susceptible
158,66,Yes,Yes,Susceptible
159,42,Yes,Yes,Susceptible
160,45,Yes,Yes,Susceptible
161,62,No,No,Susceptible
162,57,No,No,Recovered
163,6,Yes,Yes,Susceptible
164,28,Yes,No,Susceptible
165,28,No,Yes,Susceptible
166,44,No,No,Infectious
167,84,Yes,No,Susceptible
168,30,No,No,Infectious
169,62,Yes,Yes,Susceptible
170,75,Yes,No,Susceptible
171,89,Yes,Yes,Susceptible
172,62,No,No,Susceptible
173,1,Yes,No,Susceptible
174,27,Yes,No,Susceptible
175,62,No,No,Susceptible
176,77,Yes,No,Susceptible
177,3,Yes,No,Susceptible
178,70,No,Yes,Susceptible
179,72,Yes,No,Susceptible
180,27,Yes,Yes,Susceptible
181,9,Yes,Yes,Susceptible
182,62,Yes,No,Susceptible
183,37,Yes,No,Susceptible
184,51,Yes,Yes,Susceptible
185,44,Yes,Yes,Susceptible
186,24,No,No,Susceptible
187,79,Yes,No,Recovered
188,59,No,Yes,Susceptible
189,32,Yes,No,Susceptible
190,88,Yes,No,Susceptible
191,52,No,No,Susceptible
192,62,Yes,Yes,Susceptible
193,58,No,Yes,Susceptible
194,52,Yes,Yes,Susceptible
195,12,No,No,Susceptible
196,39,Yes,No,Susceptible
197,2,Yes,Yes,Susceptible
198,3,Yes,No,Susceptible
199,56,Yes,No,Infectious
200,81,Yes,No,Susceptible
201,59,Yes,Yes,Susceptible
202,2,Yes,No,Susceptible
203,2,Yes,Yes,Susceptible
204,54,No,Yes,Susceptible
205,87,Yes,Yes,Susceptible
206,1,Yes,Yes,Susceptible
207,19,Yes,Yes,Susceptible
208,2,No,No,Susceptible
209,53,Yes,Yes,Susceptible
210,44,Yes,Yes,Susceptible
211,32,Yes,Yes,Susceptible
212,70,Yes,No,Susceptible
213,32,Yes,Yes,Susceptible
214,68,Yes,Yes,Susceptible
215,55,Yes,Yes,Recovered
216,75,No,Yes,Susceptible
217,56,Yes,Yes,Infectious
218,17,No,Yes,Susceptible
219,38,No,No,Susceptible
220,24,Yes,Yes,Susceptible
221,69,Yes,Yes,Susceptible
222,70,Yes,No,Susceptible
223,86,Yes,No,Susceptible
224,11,Yes,Yes,Infectious
225,16,No,Yes,Susceptible
226,73,Yes,Yes,Susceptible
227,59,Yes,No,Susceptible
228,70,No,No,Susceptible
229,80,Yes,Yes,Recovered
230,3,Yes,Yes,Susceptible
231,20,Yes,No,Susceptible
232,59,Yes,Yes,Susceptible
233,36,Yes,Yes,Susceptible
234,19,Yes,No,Susceptible
235,67,Yes,Yes,Susceptible
236,19,Yes,Yes,Susceptible
237,20,Yes,Yes,Susceptible
238,71,Yes,Yes,Recovered
239,52,Yes,Yes,Exposed
240,33,Yes,Yes,Exposed
241,40,Yes,Yes,Susceptible
242,39,Yes,Yes,Susceptible
243,82,Yes,Yes,Recovered
244,1,Yes,Yes,Susceptible
245,11,Yes,Yes,Susceptible
246,57,Yes,No,Susceptible
247,89,Yes,Yes,Susceptible
248,50,No,Yes,Susceptible
249,23,Yes,No,Susceptible
250,31,Yes,Yes,Susceptible
251,42,Yes,No,Susceptible
252,7,No,Yes,Susceptible
253,16,Yes,No,Susceptible
254,60,Yes,Yes,Susceptible
255,2,No,Yes,Susceptible
256,1,Yes,No,Susceptible
257,48,Yes,Yes,Susceptible
258,12,Yes,Yes,Susceptible
259,69,Yes,Yes,Recovered
260,37,Yes,Yes,Susceptible
261,32,No,Yes,Susceptible
262,9,Yes,No,Susceptible
263,19,No,Yes,Recovered
264,48,No,No,Susceptible
265,80,No,No,Susceptible
266,3,Yes,Yes,Susceptible
267,20,Yes,Yes,Susceptible
268,24,Yes,No,Susceptible
269,54,Yes,Yes,Exposed
270,33,No,No,Infectious
271,24,Yes,Yes,Susceptible
272,75,Yes,Yes,Susceptible
273,72,Yes,Yes,Susceptible
274,36,Yes,Yes,Susceptible
275,38,Yes,Yes,Susceptible
276,84,Yes,Yes,Susceptible
277,89,Yes,Yes,Susceptible
278,25,Yes,No,Susceptible
279,18,No,No,Susceptible
280,82,Yes,No,Susceptible
281,66,Yes,Yes,Susceptible
282,54,Yes,Yes,Susceptible
283,35,Yes,Yes,Susceptible
284,80,Yes,Yes,Recovered
285,61,No,Yes,Susceptible
286,41,No,No,Susceptible
287,33,No,No,Susceptible
288,68,Yes,No,Susceptible
289,33,Yes,Yes,Susceptible
290,14,Yes,Yes,Susceptible
291,21,No,No,Susceptible
292,48,Yes,No,Susceptible
293,20,Yes,No,Infectious
294,8,Yes,Yes,Susceptible
295,7,No,Yes,Susceptible
296,67,No,No,Susceptible
297,17,Yes,No,Susceptible
298,33,Yes,No,Susceptible
299,48,Yes,No,Susceptible
300,76,No,Yes,Susceptible
301,59,Yes,Yes,Susceptible
302,86,Yes,Yes,Susceptible
303,22,No,No,Susceptible
304,30,Yes,Yes,Susceptible
305,38,No,No,Susceptible
306,51,Yes,Yes,Susceptible
307,54,Yes,No,Susceptible
308,8,No,Yes,Susceptible
309,27,Yes,No,Susceptible
310,27,Yes,Yes,Susceptible
311,21,Yes,No,Susceptible
312,30,Yes,No,Susceptible
313,28,Yes,No,Susceptible
314,64,No,Yes,Susceptible
315,69,Yes,Yes,Exposed
316,61,Yes,Yes,Infectious
317,48,No,Yes,Susceptible
318,19,Yes,Yes,Susceptible
319,4,No,Yes,Infectious
320,35,No,Yes,Infectious
321,64,Yes,Yes,Infectious
322,49,Yes,Yes,Exposed
323,17,No,No,Susceptible
324,44,Yes,No,Susceptible
325,30,Yes,No,Susceptible
326,46,Yes,No,Susceptible
327,6,Yes,Yes,Susceptible
328,37,Yes,No,Susceptible
329,24,No,Yes,Susceptible
330,46,Yes,Yes,Susceptible
331,53,Yes,Yes,Susceptible
332,60,Yes,No,Susceptible
333,63,Yes,No,Susceptible
334,85,Yes,Yes,Susceptible
335,32,Yes,No,Susceptible
336,87,Yes,No,Susceptible
337,33,No,No,Susceptible
338,67,No,No,Susceptible
339,18,No,Yes,Susceptible
340,25,No,No,Susceptible
341,54,Yes,Yes,Infectious
342,58,Yes,Yes,Susceptible
343,67,Yes,Yes,Susceptible
344,46,Yes,Yes,Susceptible
345,24,No,No,Susceptible
346,32,Yes,No,Susceptible
347,47,Yes,Yes,Susceptible
348,86,Yes,Yes,Susceptible
349,23,No,No,Susceptible
350,66,Yes,No,Susceptible
351,27,Yes,Yes,Susceptible
352,2,No,No,Susceptible
353,17,No,Yes,Susceptible
354,33,Yes,Yes,Susceptible
355,9,No,Yes,Susceptible
356,43,No,No,Susceptible
357,48,Yes,Yes,Susceptible
358,39,Yes,Yes,Susceptible
359,42,Yes,Yes,Susceptible
360,26,No,Yes,Exposed
361,50,Yes,No,Infectious
362,25,No,No,Susceptible
363,24,No,Yes,Susceptible
364,13,Yes,Yes,Susceptible
365,60,No,Yes,Susceptible
366,7,Yes,No,Susceptible
367,57,Yes,No,Susceptible
368,36,Yes,No,Susceptible
369,45,Yes,Yes,Infectious
370,20,Yes,No,Susceptible
371,65,Yes,Yes,Susceptible
372,8,Yes,Yes,Susceptible
373,16,Yes,Yes,Susceptible
374,14,Yes,Yes,Susceptible
375,76,Yes,Yes,Susceptible
376,87,No,No,Susceptible
377,15,Yes,No,Susceptible
378,66,Yes,No,Susceptible
379,32,Yes,No,Susceptible
380,87,Yes,No,Susceptible
381,63,Yes,No,Exposed
382,86,Yes,No,Susceptible
383,51,Yes,Yes,Susceptible
384,25,Yes,Yes,Susceptible
385,58,No,Yes,Susceptible
386,63,No,Yes,Susceptible
387,62,Yes,Yes,Susceptible
388,22,Yes,Yes,Susceptible
389,58,Yes,No,Susceptible
390,58,No,Yes,Susceptible
391,86,Yes,Yes,Susceptible
392,49,No,No,Susceptible
393,52,Yes,No,Susceptible
394,42,Yes,Yes,Susceptible
395,70,Yes,Yes,Susceptible
396,15,Yes,No,Susceptible
